player_name,realm_slug,slot_type,slot_name,item_id,item_name,icon_url,quality,item_level,inventory_type,item_subclass,binding,transmog_name,enchantments_json,sockets_json,stats_json,spells_json,raw_details_json
Hobbyalkis,twisting-nether,HEAD,Head,249306,Devouring Night's Visage,https://render.worldofwarcraft.com/eu/icons/56/inv_helm_leather_raiddemonhuntermidnight_d_01.jpg,Epic,272,Head,Leather,Binds when picked up,Soulblade Guise,"[{""display_string"":""Enchanted: Enchant Helm - Empowered Rune of Avoidance |A:Professions-ChatIcon-Quality-12-Tier2:20:20|a"",""source_item_name"":"""",""enchantment_id"":8017}]",,"[{""type"":""Agility"",""value"":106,""display"":""+106 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":106,""display"":""+106 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1435,""display"":""+1,435 Stamina"",""is_negated"":false},{""type"":""Critical Strike"",""value"":44,""display"":""+44 Critical Strike"",""is_negated"":false},{""type"":""Mastery"",""value"":107,""display"":""+107 Mastery"",""is_negated"":false}]",,"{""name_description"":{""display_string"":""Mythic"",""color"":{""r"":0,""g"":255,""b"":0,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""}},""durability"":{""value"":100,""display_string"":""Durability 100 / 100""},""limit_category"":""""}"
Hobbyalkis,twisting-nether,NECK,Neck,240950,Masterwork Sin'dorei Amulet,https://render.worldofwarcraft.com/eu/icons/56/inv_12_profession_jewelcrafting_necklace2_gold.jpg,Epic,285,Neck,Miscellaneous,Binds when picked up,,,"[{""socket_type"":""Prismatic Socket"",""item_id"":240900,""item_name"":""Flawless Quick Amethyst"",""display_string"":""+16 Mastery & +7 Haste""}]","[{""type"":""Stamina"",""value"":948,""display"":""+948 Stamina"",""is_negated"":false},{""type"":""Critical Strike"",""value"":147,""display"":""+147 Critical Strike"",""is_negated"":false},{""type"":""Haste"",""value"":147,""display"":""+147 Haste"",""is_negated"":false}]","[{""spell_id"":1246298,""spell_name"":""Lucky Keychain"",""description"":""Equip: +1 Sparkle.""}]","{""name_description"":{""display_string"":""Radiance Crafted"",""color"":{""r"":25,""g"":255,""b"":25,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""}},""durability"":{},""limit_category"":""""}"
Hobbyalkis,twisting-nether,SHOULDER,Shoulders,250004,Venom Casks of the Grim Jest,https://render.worldofwarcraft.com/eu/icons/56/inv_shoulder_leather_raidroguemidnight_d_01.jpg,Epic,276,Shoulder,Leather,Binds when picked up,Vault Delver's Epaulets,"[{""display_string"":""Enchanted: Enchant Shoulders - Amirdrassil's Grace |A:Professions-ChatIcon-Quality-12-Tier2:20:20|a"",""source_item_name"":"""",""enchantment_id"":8001}]",,"[{""type"":""Agility"",""value"":82,""display"":""+82 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":82,""display"":""+82 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1130,""display"":""+1,130 Stamina"",""is_negated"":false},{""type"":""Haste"",""value"":34,""display"":""+34 Haste"",""is_negated"":false},{""type"":""Mastery"",""value"":81,""display"":""+81 Mastery"",""is_negated"":false}]",,"{""name_description"":{""display_string"":""Mythic"",""color"":{""r"":0,""g"":255,""b"":0,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""},""playable_classes"":{""links"":[{""key"":{""href"":""https://eu.api.blizzard.com/data/wow/playable-class/4?namespace=static-12.0.5_66741-eu""},""name"":""Rogue"",""id"":4}],""display_string"":""Classes: Rogue""}},""durability"":{""value"":100,""display_string"":""Durability 100 / 100""},""limit_category"":""""}"
Hobbyalkis,twisting-nether,SHIRT,Shirt,268274,Blinky's Collar,https://render.worldofwarcraft.com/eu/icons/56/inv_jewelry_necklace_22.jpg,Uncommon,1,Shirt,Miscellaneous,Binds when picked up,Duelist's Midnight Doublet,,,,"[{""spell_id"":1282029,""spell_name"":""Blinky's Collar"",""description"":""Equip: A collar of devotion, worn by the Devouring Host's cherished terror.""}]","{""name_description"":{},""requirements"":{},""durability"":{},""limit_category"":""""}"
Hobbyalkis,twisting-nether,CHEST,Chest,250009,Fantastic Finery of the Grim Jest,https://render.worldofwarcraft.com/eu/icons/56/inv_chest_leather_raidroguemidnight_d_01.jpg,Epic,285,Chest,Leather,Binds when picked up,Sargerei Commander's Lightbound Hauberk,"[{""display_string"":""Enchanted: Enchant Chest - Mark of the Worldsoul |A:Professions-ChatIcon-Quality-12-Tier2:20:20|a"",""source_item_name"":"""",""enchantment_id"":7987}]",,"[{""type"":""Agility"",""value"":119,""display"":""+119 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":119,""display"":""+119 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1685,""display"":""+1,685 Stamina"",""is_negated"":false},{""type"":""Critical Strike"",""value"":109,""display"":""+109 Critical Strike"",""is_negated"":false},{""type"":""Mastery"",""value"":52,""display"":""+52 Mastery"",""is_negated"":false}]",,"{""name_description"":{""display_string"":""Mythic+"",""color"":{""r"":0,""g"":255,""b"":0,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""},""playable_classes"":{""links"":[{""key"":{""href"":""https://eu.api.blizzard.com/data/wow/playable-class/4?namespace=static-12.0.5_66741-eu""},""name"":""Rogue"",""id"":4}],""display_string"":""Classes: Rogue""}},""durability"":{""value"":165,""display_string"":""Durability 165 / 165""},""limit_category"":""""}"
Hobbyalkis,twisting-nether,WAIST,Waist,244573,Silvermoon Agent's Utility Belt,https://render.worldofwarcraft.com/eu/icons/56/inv_belt_leather_questbloodelf_b_01.jpg,Epic,285,Waist,Leather,Binds when picked up,Windrunner's Baldric,,,"[{""type"":""Agility"",""value"":90,""display"":""+90 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":90,""display"":""+90 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1264,""display"":""+1,264 Stamina"",""is_negated"":false},{""type"":""Haste"",""value"":60,""display"":""+60 Haste"",""is_negated"":false},{""type"":""Mastery"",""value"":60,""display"":""+60 Mastery"",""is_negated"":false}]","[{""spell_id"":1283697,""spell_name"":""Arcanoweave Lining"",""description"":""Equip: Your spells and abilities have a chance to draw in a mana wyrm that will empower you and an ally with Arcanoweave Insight, increasing your Agility by 44 and your ally's Primary Stat by 11.""}]","{""name_description"":{""display_string"":""Radiance Crafted"",""color"":{""r"":25,""g"":255,""b"":25,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""}},""durability"":{""value"":55,""display_string"":""Durability 55 / 55""},""limit_category"":""Unique-Equipped: Embellished (2)""}"
Hobbyalkis,twisting-nether,LEGS,Legs,250005,Blade Holsters of the Grim Jest,https://render.worldofwarcraft.com/eu/icons/56/inv_pant_leather_raidroguemidnight_d_01.jpg,Epic,276,Legs,Leather,Binds when picked up,Soulblade Leggings,"[{""display_string"":""Enchanted: +41 Agility/Strength & +115 Stamina |A:Professions-ChatIcon-Quality-12-Tier2:20:20|a"",""source_item_name"":""Forest Hunter's Armor Kit"",""enchantment_id"":8159}]",,"[{""type"":""Agility"",""value"":110,""display"":""+110 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":110,""display"":""+110 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1507,""display"":""+1,507 Stamina"",""is_negated"":false},{""type"":""Haste"",""value"":44,""display"":""+44 Haste"",""is_negated"":false},{""type"":""Versatility"",""value"":110,""display"":""+110 Versatility"",""is_negated"":false}]",,"{""name_description"":{},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""},""playable_classes"":{""links"":[{""key"":{""href"":""https://eu.api.blizzard.com/data/wow/playable-class/4?namespace=static-12.0.5_66741-eu""},""name"":""Rogue"",""id"":4}],""display_string"":""Classes: Rogue""}},""durability"":{""value"":120,""display_string"":""Durability 120 / 120""},""limit_category"":""""}"
Hobbyalkis,twisting-nether,FEET,Feet,249382,Canopy Walker's Footwraps,https://render.worldofwarcraft.com/eu/icons/56/inv_boot_leather_raiddruidmidnight_d_01.jpg,Epic,276,Feet,Leather,Binds when picked up,Interloper's Reinforced Sandals,"[{""display_string"":""Enchanted: Enchant Boots - Lynx's Dexterity |A:Professions-ChatIcon-Quality-12-Tier2:20:20|a"",""source_item_name"":"""",""enchantment_id"":7963}]",,"[{""type"":""Agility"",""value"":82,""display"":""+82 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":82,""display"":""+82 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1130,""display"":""+1,130 Stamina"",""is_negated"":false},{""type"":""Critical Strike"",""value"":40,""display"":""+40 Critical Strike"",""is_negated"":false},{""type"":""Mastery"",""value"":76,""display"":""+76 Mastery"",""is_negated"":false}]",,"{""name_description"":{""display_string"":""Heroic"",""color"":{""r"":0,""g"":255,""b"":0,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""}},""durability"":{""value"":80,""display_string"":""Durability 80 / 80""},""limit_category"":""""}"
Hobbyalkis,twisting-nether,WRIST,Wrist,50264,Chewed Leather Wristguards,https://render.worldofwarcraft.com/eu/icons/56/inv_bracer_23a.jpg,Epic,276,Wrist,Leather,Binds when picked up,Hidden Bracers,,,"[{""type"":""Agility"",""value"":62,""display"":""+62 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":62,""display"":""+62 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":848,""display"":""+848 Stamina"",""is_negated"":false},{""type"":""Critical Strike"",""value"":51,""display"":""+51 Critical Strike"",""is_negated"":false},{""type"":""Haste"",""value"":36,""display"":""+36 Haste"",""is_negated"":false}]",,"{""name_description"":{""display_string"":""Mythic+"",""color"":{""r"":0,""g"":255,""b"":0,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""}},""durability"":{""value"":55,""display_string"":""Durability 55 / 55""},""limit_category"":""""}"
Hobbyalkis,twisting-nether,HANDS,Hands,250007,Sleight of Hand of the Grim Jest,https://render.worldofwarcraft.com/eu/icons/56/inv_glove_leather_raidroguemidnight_d_01.jpg,Epic,276,Hands,Leather,Binds when picked up,Loyal Kvaldir's Handwraps,,,"[{""type"":""Agility"",""value"":82,""display"":""+82 Agility"",""is_negated"":false},{""type"":""Intellect"",""value"":82,""display"":""+82 Intellect"",""is_negated"":true},{""type"":""Stamina"",""value"":1130,""display"":""+1,130 Stamina"",""is_negated"":false},{""type"":""Critical Strike"",""value"":79,""display"":""+79 Critical Strike"",""is_negated"":false},{""type"":""Haste"",""value"":37,""display"":""+37 Haste"",""is_negated"":false}]",,"{""name_description"":{""display_string"":""Heroic"",""color"":{""r"":0,""g"":255,""b"":0,""a"":1.0}},""requirements"":{""level"":{""value"":90,""display_string"":""Requires Level 90""},""playable_classes"":{""links"":[{""key"":{""href"":""https://eu.api.blizzard.com/data/wow/playable-class/4?namespace=static-12.0.5_66741-eu""},""name"":""Rogue"",""id"":4}],""display_string"":""Classes: Rogue""}},""durability"":{""value"":55,""display_string"":""Durability 55 / 55""},""limit_category"":""""}"
